iter	Passed	Remaining
418	2558	3547
419	2564	3541
420	2570	3534
421	2576	3528
422	2582	3522
423	2588	3516
424	2594	3509
425	2599	3503
426	2605	3496
427	2611	3490
428	2617	3484
429	2623	3478
430	2629	3471
431	2635	3465
432	2641	3459
433	2647	3452
434	2653	3446
435	2659	3440
436	2665	3434
437	2671	3428
438	2677	3421
439	2683	3415
440	2689	3409
441	2695	3402
442	2701	3396
443	2707	3390
444	2713	3383
445	2719	3377
446	2725	3371
447	2731	3365
448	2737	3358
449	2742	3352
450	2748	3346
451	2754	3339
452	2760	3333
453	2766	3327
454	2772	3321
455	2778	3314
456	2784	3308
457	2790	3302
458	2797	3296
459	2802	3290
460	2808	3284
461	2814	3277
462	2820	3271
463	2826	3265
464	2832	3258
465	2838	3252
466	2844	3246
467	2850	3240
468	2856	3234
469	2862	3228
470	2868	3221
471	2874	3215
472	2880	3209
473	2886	3203
474	2892	3196
475	2898	3190
476	2904	3184
477	2910	3177
478	2916	3171
479	2922	3165
480	2928	3159
481	2934	3153
482	2940	3147
483	2946	3140
484	2952	3135
485	2958	3128
486	2966	3124
487	2974	3120
488	2981	3115
489	2988	3110
490	2994	3103
491	3000	3097
492	3006	3091
493	3012	3085
494	3018	3079
495	3024	3073
496	3030	3066
497	3036	3060
498	3042	3054
499	3048	3048
500	3054	3042
501	3061	3036
502	3067	3030
503	3073	3024
504	3079	3018
505	3085	3011
506	3091	3006
507	3098	3000
508	3104	2995
509	3110	2988
510	3116	2982
511	3122	2976
512	3128	2970
513	3134	2964
514	3140	2957
515	3146	2951
516	3152	2945
517	3158	2939
518	3164	2933
519	3170	2926
520	3176	2920
521	3182	2914
522	3188	2908
523	3194	2901
524	3200	2895
525	3206	2889
526	3212	2883
527	3218	2877
528	3224	2871
529	3230	2864
530	3236	2858
531	3242	2852
532	3248	2846
533	3254	2840
534	3261	2834
535	3267	2828
536	3273	2822
537	3280	2816
538	3286	2810
539	3292	2804
540	3298	2798
541	3304	2792
542	3310	2786
543	3316	2779
544	3322	2773
545	3328	2767
546	3334	2761
547	3340	2755
548	3346	2748
549	3352	2742
550	3358	2736
551	3364	2730
552	3369	2724
553	3375	2717
554	3382	2711
555	3387	2705
556	3393	2699
557	3399	2693
558	3405	2686
559	3411	2680
560	3417	2674
561	3423	2668
562	3429	2661
563	3435	2655
564	3441	2649
565	3447	2643
566	3453	2637
567	3459	2631
568	3465	2625
569	3471	2618
570	3477	2612
571	3483	2606
572	3489	2600
573	3495	2594
574	3501	2587
575	3507	2581
576	3513	2575
577	3519	2569
578	3525	2563
579	3531	2557
580	3537	2551
581	3543	2544
582	3549	2538
583	3555	2532
584	3561	2526
585	3569	2521
586	3575	2515
587	3581	2509
588	3587	2503
589	3592	2496
590	3599	2491
591	3606	2485
592	3612	2479
593	3618	2473
594	3624	2467
595	3630	2460
596	3636	2454
597	3642	2448
598	3648	2442
599	3654	2436
600	3660	2429
601	3666	2423
602	3672	2417
603	3678	2411
604	3684	2405
605	3690	2399
606	3696	2393
607	3702	2387
608	3708	2380
609	3714	2374
610	3720	2368
611	3726	2362
612	3732	2356
613	3738	2350
614	3744	2343
615	3750	2337
616	3756	2331
617	3761	2325
618	3767	2319
619	3773	2312
620	3779	2306
621	3785	2300
622	3791	2294
623	3797	2288
624	3803	2282
625	3809	2275
626	3815	2269
627	3821	2263
628	3827	2257
629	3833	2251
630	3839	2245
631	3845	2239
632	3851	2233
633	3857	2226
634	3863	2220
635	3869	2214
636	3875	2208
637	3881	2202
638	3887	2196
639	3893	2190
640	3899	2183
641	3905	2177
642	3911	2171
643	3917	2165
644	3923	2159
645	3929	2153
646	3935	2147
647	3941	2140
648	3947	2134
649	3953	2128
650	3959	2122
651	3965	2116
652	3971	2110
653	3977	2104
654	3983	2097
655	3989	2091
656	3994	2085
657	4002	2080
658	4008	2074
659	4014	2067
660	4020	2061
661	4026	2055
662	4032	2049
663	4038	2043
664	4044	2037
665	4050	2031
666	4056	2024
667	4062	2018
668	4068	2012
669	4074	2006
670	4080	2000
671	4086	1994
672	4092	1988
673	4098	1982
674	4104	1976
675	4110	1969
676	4116	1963
677	4122	1957
678	4128	1951
679	4134	1945
680	4140	1939
681	4146	1933
682	4152	1927
683	4158	1921
684	4164	1915
685	4170	1909
686	4176	1902
687	4182	1896
688	4188	1890
689	4194	1884
690	4200	1878
691	4206	1872
692	4212	1866
693	4218	1860
694	4224	1853
695	4230	1847
696	4236	1841
697	4241	1835
698	4248	1829
699	4254	1823
700	4260	1817
701	4266	1811
702	4272	1804
703	4278	1798
704	4284	1792
705	4289	1786
706	4295	1780
707	4301	1774
708	4307	1768
709	4313	1762
710	4319	1755
711	4325	1749
712	4331	1743
713	4337	1737
714	4343	1731
715	4350	1725
716	4355	1719
717	4361	1713
718	4367	1707
719	4373	1700
720	4380	1694
721	4386	1688
722	4392	1682
723	4398	1676
724	4404	1670
725	4410	1664
726	4416	1658
727	4422	1652
728	4428	1646
729	4434	1640
730	4440	1634
731	4446	1627
732	4452	1621
733	4458	1615
734	4464	1609
735	4470	1603
736	4476	1597
737	4482	1591
738	4488	1585
739	4493	1578
740	4499	1572
741	4505	1566
742	4511	1560
743	4517	1554
744	4523	1548
745	4529	1542
746	4535	1536
747	4541	1530
748	4547	1524
749	4553	1517
750	4559	1511
751	4565	1505
752	4571	1499
753	4578	1493
754	4584	1487
755	4590	1481
756	4596	1475
757	4602	1469
758	4608	1463
759	4614	1457
760	4620	1451
761	4626	1445
762	4632	1438
763	4638	1432
764	4645	1426
765	4651	1421
766	4657	1414
767	4663	1408
768	4670	1402
769	4676	1396
770	4682	1390
771	4688	1384
772	4694	1378
773	4699	1372
774	4705	1366
775	4711	1360
776	4717	1354
777	4723	1347
778	4729	1341
779	4735	1335
780	4741	1329
781	4747	1323
782	4753	1317
783	4759	1311
784	4765	1305
