iter	MultiClass
0	1.117408749
1	0.9325694745
2	0.7941612346
3	0.684881576
4	0.5963282772
5	0.5227542981
6	0.4606686296
7	0.4080512213
8	0.3624437356
9	0.3231612648
10	0.2887497017
11	0.2586369498
12	0.2320357817
13	0.2085549742
14	0.1875668513
15	0.1690551801
16	0.1524692084
17	0.1375984644
18	0.1242945949
19	0.1124348412
20	0.1016965646
21	0.09215454657
22	0.0834517673
23	0.07565313266
24	0.06855232189
25	0.06216591991
26	0.05638824848
27	0.0511941679
28	0.04645763633
29	0.0422283059
30	0.03839196798
31	0.03494988992
32	0.03175990525
33	0.02897661461
34	0.0264469709
35	0.02409512788
36	0.02201786772
37	0.02012246017
38	0.01836845756
39	0.01676332255
40	0.01527028999
41	0.01393845683
42	0.01270006208
43	0.01158925834
44	0.01059371496
45	0.009723600478
46	0.008857675698
47	0.00810734657
48	0.007414324106
49	0.006759177137
50	0.006220795981
51	0.005720312189
52	0.005237955149
53	0.004812476596
54	0.004447314438
55	0.004062205879
56	0.003723733025
57	0.00341731484
58	0.00317731527
59	0.002916849976
60	0.002703922259
61	0.002489122096
62	0.002305538089
63	0.002141586765
64	0.002000707178
65	0.001846365059
66	0.001729080776
67	0.001628749728
68	0.001527608198
69	0.001429968351
70	0.001330471104
71	0.001239598674
72	0.001156214829
73	0.00108452378
74	0.001015113329
75	0.0009508834021
76	0.0008917979581
77	0.0008384850521
78	0.0008012252579
79	0.0007523055121
80	0.0007070378924
81	0.0006722446971
82	0.0006367450771
83	0.0006040469583
84	0.0005723229105
85	0.0005444302938
86	0.0005212668217
87	0.0004968662799
88	0.0004742159692
89	0.0004598584734
90	0.0004434380299
91	0.0004243836788
92	0.000410313941
93	0.0003939195002
94	0.0003767414322
95	0.0003644778607
96	0.0003510328772
97	0.0003384954648
98	0.0003267913149
99	0.000315758851
100	0.000305277542
101	0.0002955804782
102	0.0002864579244
103	0.0002776910756
104	0.0002695666458
105	0.0002603508227
106	0.0002531709364
107	0.000246250377
108	0.0002397930815
109	0.0002335587321
110	0.0002276411579
111	0.000222139244
112	0.0002168857605
113	0.0002119014568
114	0.000207131732
115	0.0002025804255
116	0.000198234219
117	0.0001940960704
118	0.0001901363385
119	0.0001863288809
120	0.0001826915136
121	0.0001790980358
122	0.0001757543765
123	0.00017254235
124	0.0001694542335
125	0.0001664833415
126	0.0001636092743
127	0.0001608536091
128	0.0001581973297
129	0.0001556346052
130	0.0001531484621
131	0.0001507470692
132	0.0001484387064
133	0.0001461947421
134	0.0001440352058
135	0.0001419445245
136	0.0001399198408
137	0.0001379577533
138	0.0001360555356
139	0.0001342103945
140	0.0001324145553
141	0.000130675845
142	0.0001289872051
143	0.0001273462115
144	0.000125750783
145	0.0001241894229
146	0.000122680032
147	0.0001212109689
148	0.0001197803782
149	0.0001183869147
150	0.0001170292367
151	0.0001157057392
152	0.0001144152293
153	0.0001131565657
154	0.0001119285062
155	0.0001107211656
156	0.0001095508701
157	0.0001084080173
158	0.0001072914476
159	0.0001062004219
160	0.0001051339653
161	0.0001040912742
162	0.0001030243332
163	0.0001020272136
164	0.000101051505
165	0.000100096585
166	9.916170155e-05
167	9.824621354e-05
168	9.734953825e-05
169	9.647105458e-05
170	9.561009683e-05
171	9.476623105e-05
172	9.393893846e-05
173	9.312772124e-05
174	9.233216554e-05
175	9.155174536e-05
176	9.078595765e-05
177	9.003444333e-05
178	8.929016122e-05
179	8.856613598e-05
180	8.785517834e-05
181	8.715689393e-05
182	8.647099097e-05
183	8.579713244e-05
184	8.512878226e-05
185	8.447811144e-05
186	8.383854384e-05
187	8.320384038e-05
188	8.258567269e-05
189	8.197776348e-05
190	8.137985087e-05
191	8.07916819e-05
192	8.021301218e-05
193	7.96436055e-05
194	7.908323354e-05
195	7.85261376e-05
196	7.798323063e-05
197	7.744330955e-05
198	7.691703669e-05
199	7.639876184e-05
200	7.588829755e-05
201	7.537700676e-05
202	7.488170016e-05
203	7.43936749e-05
204	7.391276577e-05
205	7.343881258e-05
206	7.297165996e-05
207	7.250625029e-05
208	7.205229282e-05
209	7.16046963e-05
210	7.115856191e-05
211	7.072034349e-05
212	7.028642586e-05
213	6.986303785e-05
214	6.944535898e-05
215	6.902874553e-05
216	6.861770239e-05
217	6.821211449e-05
218	6.780909854e-05
219	6.741411325e-05
220	6.702425641e-05
221	6.664361025e-05
222	6.626365039e-05
223	6.58926211e-05
224	6.552624317e-05
225	6.516442626e-05
226	6.480307102e-05
227	6.445014491e-05
228	6.409758864e-05
229	6.375321738e-05
230	6.341298841e-05
231	6.307682446e-05
232	6.274465023e-05
233	6.241639227e-05
234	6.209197897e-05
235	6.177134047e-05
236	6.145440863e-05
237	6.114111695e-05
238	6.082542405e-05
239	6.051566067e-05
240	6.021297669e-05
241	5.99136815e-05
242	5.961771619e-05
243	5.932502323e-05
244	5.903207834e-05
245	5.874578674e-05
246	5.846260243e-05
247	5.817908857e-05
248	5.790198587e-05
249	5.76278365e-05
250	5.73511837e-05
251	5.707956583e-05
252	5.681081379e-05
253	5.654808043e-05
254	5.628806536e-05
255	5.603072485e-05
256	5.577287715e-05
257	5.55187903e-05
258	5.526616944e-05
259	5.501916379e-05
260	5.477462709e-05
261	5.453252094e-05
262	5.428980905e-05
263	5.405247102e-05
264	5.381450245e-05
265	5.357886632e-05
266	5.33455271e-05
267	5.309945613e-05
268	5.28707123e-05
269	5.264416167e-05
270	5.240514815e-05
271	5.21829878e-05
272	5.196564987e-05
273	5.174587686e-05
274	5.15325842e-05
275	5.132125567e-05
276	5.11118631e-05
277	5.090174052e-05
278	5.069186436e-05
279	5.048815933e-05
280	5.028370777e-05
281	5.00836484e-05
282	4.988536631e-05
283	4.968883689e-05
284	4.949403602e-05
285	4.929844603e-05
286	4.910704585e-05
287	4.891730428e-05
288	4.872675471e-05
289	4.853785485e-05
290	4.835298357e-05
291	4.816729543e-05
292	4.798319181e-05
293	4.780299807e-05
294	4.762431379e-05
295	4.744563406e-05
296	4.726992041e-05
297	4.709336167e-05
298	4.691826761e-05
299	4.674461931e-05
300	4.657239818e-05
301	4.640380535e-05
302	4.623296454e-05
303	4.606709701e-05
304	4.590037785e-05
305	4.573715782e-05
306	4.55717257e-05
307	4.541109698e-05
308	4.524960958e-05
309	4.509149925e-05
310	4.493252747e-05
311	4.477479912e-05
312	4.461829907e-05
313	4.446505433e-05
314	4.431094986e-05
315	4.415802991e-05
316	4.400501662e-05
317	4.385443185e-05
318	4.370498963e-05
319	4.355667646e-05
320	4.341141653e-05
321	4.326408887e-05
322	4.312098999e-05
323	4.29789441e-05
324	4.283604454e-05
325	4.269301631e-05
326	4.255408375e-05
327	4.241615665e-05
328	4.227737573e-05
329	4.214143462e-05
330	4.200646531e-05
331	4.187245697e-05
332	4.173939889e-05
333	4.160436265e-05
334	4.147140318e-05
335	4.134115752e-05
336	4.121182075e-05
337	4.108162628e-05
338	4.095234212e-05
339	4.082568955e-05
340	4.069990695e-05
341	4.0574985e-05
342	4.044920695e-05
343	4.032598673e-05
344	4.020191227e-05
345	4.007931602e-05
346	3.99569157e-05
347	3.983534201e-05
348	3.971357484e-05
